predictions,label_code,lable_name
"[np.float32(0.99978715), np.float32(-0.9999995), np.float32(-0.99999917), np.float32(-0.99999964), np.float32(0.9999992), np.float32(0.99999964), np.float32(0.9999999), np.float32(-0.99994934), np.float32(0.99999726), np.float32(0.99999976), np.float32(-1.0), np.float32(0.9998801), np.float32(-0.9999995), np.float32(-0.9999989), np.float32(-0.99999905), np.float32(0.9998992), np.float32(-0.999999), np.float32(-0.99992204), np.float32(-0.99999964), np.float32(0.99999964), np.float32(0.999998), np.float32(0.99995816), np.float32(-0.9998968), np.float32(-0.9999991), np.float32(0.99999934), np.float32(-0.99999946), np.float32(0.9999997), np.float32(0.99999976), np.float32(-0.99995726), np.float32(0.99999917), np.float32(-0.9999246), np.float32(0.99999976), np.float32(0.9999995), np.float32(0.99999857), np.float32(0.99994034), np.float32(0.99999815), np.float32(-0.9999995), np.float32(0.9999062), np.float32(-0.9999284), np.float32(-0.9999998), np.float32(-0.99999976), np.float32(-0.9999986), np.float32(-0.9999971), np.float32(0.9999148), np.float32(0.99999875), np.float32(0.999999), np.float32(0.9999995), np.float32(-0.99999917), np.float32(0.9999998), np.float32(-0.99999964), np.float32(0.99990773), np.float32(-0.9999994), np.float32(-0.99990165), np.float32(-0.999998), np.float32(-0.99995244), np.float32(0.9999998), np.float32(-0.9999457), np.float32(0.9999996), np.float32(-0.9999998), np.float32(0.9999995), np.float32(-0.99999875), np.float32(0.9999992), np.float32(0.999998), np.float32(0.99994326), np.float32(0.9999995), np.float32(1.0), np.float32(0.9999996), np.float32(-0.99999857), np.float32(-0.99999964), np.float32(-0.99999964), np.float32(0.99999964), np.float32(0.9996505)]",2,Bent
"[np.float32(0.9994623), np.float32(-0.99999744), np.float32(-0.99999726), np.float32(-0.99999845), np.float32(0.99999636), np.float32(0.99999785), np.float32(0.9999993), np.float32(-0.9999529), np.float32(0.9999865), np.float32(0.9999984), np.float32(-0.99999964), np.float32(0.9999043), np.float32(-0.9999961), np.float32(-0.9999969), np.float32(-0.9999945), np.float32(0.9998788), np.float32(-0.9999963), np.float32(-0.99993616), np.float32(-0.9999975), np.float32(0.99999875), np.float32(0.9999908), np.float32(0.9999409), np.float32(-0.9998932), np.float32(-0.9999962), np.float32(0.99999624), np.float32(-0.9999956), np.float32(0.99999887), np.float32(0.99999845), np.float32(-0.9999428), np.float32(0.99999684), np.float32(-0.9998874), np.float32(0.9999982), np.float32(0.9999974), np.float32(0.99999386), np.float32(0.9999248), np.float32(0.99999446), np.float32(-0.99999815), np.float32(0.99991477), np.float32(-0.9999263), np.float32(-0.9999987), np.float32(-0.9999981), np.float32(-0.99999344), np.float32(-0.9999882), np.float32(0.99991274), np.float32(0.9999969), np.float32(0.99999654), np.float32(0.99999815), np.float32(-0.9999967), np.float32(0.9999987), np.float32(-0.999998), np.float32(0.9999142), np.float32(-0.99999815), np.float32(-0.9998448), np.float32(-0.99999106), np.float32(-0.9999269), np.float32(0.9999989), np.float32(-0.99992555), np.float32(0.9999979), np.float32(-0.99999905), np.float32(0.99999774), np.float32(-0.99999326), np.float32(0.999995), np.float32(0.9999934), np.float32(0.99993455), np.float32(0.99999595), np.float32(1.0), np.float32(0.999997), np.float32(-0.9999949), np.float32(-0.99999833), np.float32(-0.99999857), np.float32(0.999998), np.float32(0.99908847)]",2,Bent
"[np.float32(0.9999975), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(-0.99999315), np.float32(1.0), np.float32(1.0), np.float32(-1.0), np.float32(0.99998415), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(0.99999), np.float32(-1.0), np.float32(-0.999992), np.float32(-1.0), np.float32(1.0), np.float32(1.0), np.float32(0.9999936), np.float32(-0.9999877), np.float32(-1.0), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(1.0), np.float32(-0.99999547), np.float32(1.0), np.float32(-0.99998856), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.9999892), np.float32(1.0), np.float32(-1.0), np.float32(0.99999076), np.float32(-0.9999826), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(0.9999947), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(-1.0), np.float32(0.9999815), np.float32(-1.0), np.float32(-0.99997604), np.float32(-1.0), np.float32(-0.9999917), np.float32(1.0), np.float32(-0.9999959), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(1.0), np.float32(0.9999947), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(1.0), np.float32(0.99999255)]",2,Bent
"[np.float32(0.99948585), np.float32(-0.99999535), np.float32(-0.9999911), np.float32(-0.9999955), np.float32(0.99999624), np.float32(0.99999976), np.float32(0.9999985), np.float32(-0.9999098), np.float32(0.9999984), np.float32(0.99999595), np.float32(-1.0), np.float32(0.99989575), np.float32(-0.9999976), np.float32(-0.9999937), np.float32(-0.9999993), np.float32(0.99980605), np.float32(-0.9999994), np.float32(-0.9999125), np.float32(-0.99999964), np.float32(0.9999963), np.float32(0.99998647), np.float32(0.99994326), np.float32(-0.9999095), np.float32(-0.9999902), np.float32(0.9999994), np.float32(-0.99999744), np.float32(0.9999971), np.float32(0.9999998), np.float32(-0.9999066), np.float32(0.9999932), np.float32(-0.9999237), np.float32(0.99999976), np.float32(0.99999964), np.float32(0.9999994), np.float32(0.99988544), np.float32(0.9999886), np.float32(-0.99999166), np.float32(0.9998979), np.float32(-0.9998823), np.float32(-0.9999999), np.float32(-0.9999997), np.float32(-0.9999892), np.float32(-0.9999914), np.float32(0.999912), np.float32(0.9999903), np.float32(0.99999213), np.float32(0.9999997), np.float32(-0.9999912), np.float32(0.9999999), np.float32(-0.99999464), np.float32(0.9998864), np.float32(-0.9999926), np.float32(-0.9998171), np.float32(-0.99999064), np.float32(-0.99994284), np.float32(0.99999696), np.float32(-0.999882), np.float32(0.99999964), np.float32(-0.99999815), np.float32(0.9999998), np.float32(-0.99998343), np.float32(0.9999958), np.float32(0.9999851), np.float32(0.9999135), np.float32(0.99999803), np.float32(1.0), np.float32(0.9999996), np.float32(-0.99999005), np.float32(-0.9999995), np.float32(-0.99999976), np.float32(0.99999976), np.float32(0.9993765)]",2,Bent
"[np.float32(0.9999317), np.float32(-0.99999994), np.float32(-0.99999994), np.float32(-1.0), np.float32(0.99999994), np.float32(1.0), np.float32(1.0), np.float32(-0.999973), np.float32(0.9999999), np.float32(1.0), np.float32(-1.0), np.float32(0.9999468), np.float32(-1.0), np.float32(-0.99999994), np.float32(-0.99999994), np.float32(0.99994326), np.float32(-0.99999994), np.float32(-0.9999627), np.float32(-1.0), np.float32(1.0), np.float32(0.9999998), np.float32(0.99997306), np.float32(-0.99994737), np.float32(-0.9999999), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(1.0), np.float32(-0.99998194), np.float32(0.99999994), np.float32(-0.9999594), np.float32(1.0), np.float32(1.0), np.float32(0.99999994), np.float32(0.9999656), np.float32(0.9999998), np.float32(-0.99999994), np.float32(0.99996257), np.float32(-0.9999633), np.float32(-1.0), np.float32(-1.0), np.float32(-0.9999999), np.float32(-0.9999998), np.float32(0.9999648), np.float32(0.9999999), np.float32(0.99999994), np.float32(1.0), np.float32(-0.99999994), np.float32(1.0), np.float32(-1.0), np.float32(0.99994457), np.float32(-0.99999994), np.float32(-0.9999508), np.float32(-0.9999999), np.float32(-0.99997234), np.float32(1.0), np.float32(-0.9999718), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(-0.9999999), np.float32(0.99999994), np.float32(0.9999998), np.float32(0.9999692), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(-0.9999999), np.float32(-1.0), np.float32(-1.0), np.float32(1.0), np.float32(0.99987745)]",2,Bent
"[np.float32(0.9998517), np.float32(-0.9999995), np.float32(-0.9999995), np.float32(-0.99999976), np.float32(0.99999964), np.float32(0.99999994), np.float32(0.9999999), np.float32(-0.99996537), np.float32(0.9999997), np.float32(0.99999976), np.float32(-1.0), np.float32(0.99995434), np.float32(-0.9999998), np.float32(-0.99999964), np.float32(-0.9999998), np.float32(0.99993473), np.float32(-0.9999999), np.float32(-0.99995196), np.float32(-0.99999994), np.float32(0.9999997), np.float32(0.99999857), np.float32(0.99996173), np.float32(-0.99994785), np.float32(-0.99999917), np.float32(0.9999999), np.float32(-0.9999998), np.float32(0.99999976), np.float32(0.99999994), np.float32(-0.99996096), np.float32(0.99999934), np.float32(-0.99994594), np.float32(0.99999994), np.float32(0.99999994), np.float32(0.9999999), np.float32(0.99995047), np.float32(0.9999991), np.float32(-0.9999996), np.float32(0.9999573), np.float32(-0.99995), np.float32(-1.0), np.float32(-0.99999994), np.float32(-0.99999905), np.float32(-0.99999905), np.float32(0.9999629), np.float32(0.9999994), np.float32(0.99999946), np.float32(0.99999994), np.float32(-0.9999994), np.float32(1.0), np.float32(-0.9999996), np.float32(0.9999481), np.float32(-0.99999964), np.float32(-0.99992126), np.float32(-0.9999992), np.float32(-0.99997103), np.float32(0.9999999), np.float32(-0.9999535), np.float32(0.99999994), np.float32(-0.9999999), np.float32(0.99999994), np.float32(-0.9999982), np.float32(0.9999997), np.float32(0.99999905), np.float32(0.999966), np.float32(0.9999998), np.float32(1.0), np.float32(0.99999994), np.float32(-0.99999917), np.float32(-0.99999994), np.float32(-1.0), np.float32(0.99999994), np.float32(0.99976575)]",2,Bent
"[np.float32(0.9999867), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(-0.99999106), np.float32(1.0), np.float32(1.0), np.float32(-1.0), np.float32(0.99998504), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(0.9999833), np.float32(-1.0), np.float32(-0.9999945), np.float32(-1.0), np.float32(1.0), np.float32(1.0), np.float32(0.9999907), np.float32(-0.9999793), np.float32(-1.0), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(1.0), np.float32(-0.99999136), np.float32(1.0), np.float32(-0.99998564), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.9999878), np.float32(1.0), np.float32(-1.0), np.float32(0.9999888), np.float32(-0.9999807), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(0.9999945), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(-1.0), np.float32(0.9999837), np.float32(-1.0), np.float32(-0.9999782), np.float32(-1.0), np.float32(-0.9999913), np.float32(1.0), np.float32(-0.9999928), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(1.0), np.float32(0.9999928), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(1.0), np.float32(0.99997294)]",2,Bent
"[np.float32(0.9999488), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(-0.9999791), np.float32(0.99999994), np.float32(1.0), np.float32(-1.0), np.float32(0.9999633), np.float32(-1.0), np.float32(-0.99999994), np.float32(-1.0), np.float32(0.9999674), np.float32(-1.0), np.float32(-0.99996984), np.float32(-1.0), np.float32(1.0), np.float32(0.99999994), np.float32(0.99998075), np.float32(-0.9999594), np.float32(-0.99999994), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(1.0), np.float32(-0.9999831), np.float32(0.99999994), np.float32(-0.9999613), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.99996877), np.float32(0.99999994), np.float32(-1.0), np.float32(0.99997026), np.float32(-0.9999643), np.float32(-1.0), np.float32(-1.0), np.float32(-0.99999994), np.float32(-0.99999994), np.float32(0.99997157), np.float32(0.99999994), np.float32(0.99999994), np.float32(1.0), np.float32(-0.99999994), np.float32(1.0), np.float32(-1.0), np.float32(0.99995106), np.float32(-1.0), np.float32(-0.999938), np.float32(-0.99999994), np.float32(-0.9999772), np.float32(1.0), np.float32(-0.9999781), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(-0.99999994), np.float32(1.0), np.float32(0.99999994), np.float32(0.9999775), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(-0.99999994), np.float32(-1.0), np.float32(-1.0), np.float32(1.0), np.float32(0.9998803)]",2,Bent
"[np.float32(0.99805653), np.float32(-0.9998335), np.float32(-0.99966407), np.float32(-0.99983865), np.float32(0.9997482), np.float32(0.9999651), np.float32(0.99992746), np.float32(-0.99983716), np.float32(0.99986464), np.float32(0.99985844), np.float32(-0.9999916), np.float32(0.9998601), np.float32(-0.9998211), np.float32(-0.99982125), np.float32(-0.99992675), np.float32(0.99962753), np.float32(-0.99993), np.float32(-0.9998319), np.float32(-0.99995583), np.float32(0.9998521), np.float32(0.9995412), np.float32(0.99988174), np.float32(-0.99984086), np.float32(-0.9997226), np.float32(0.9999321), np.float32(-0.9998201), np.float32(0.99986315), np.float32(0.9999693), np.float32(-0.9998548), np.float32(0.99977493), np.float32(-0.9998745), np.float32(0.9999662), np.float32(0.9999632), np.float32(0.99996036), np.float32(0.9998478), np.float32(0.9996085), np.float32(-0.9996788), np.float32(0.9998348), np.float32(-0.9998532), np.float32(-0.99997354), np.float32(-0.99994797), np.float32(-0.99960434), np.float32(-0.9994647), np.float32(0.99982023), np.float32(0.9996757), np.float32(0.99976104), np.float32(0.99995244), np.float32(-0.99980015), np.float32(0.99997246), np.float32(-0.9998165), np.float32(0.9998087), np.float32(-0.99974054), np.float32(-0.9997415), np.float32(-0.9994692), np.float32(-0.9999125), np.float32(0.99986905), np.float32(-0.99980056), np.float32(0.9999603), np.float32(-0.9998973), np.float32(0.9999672), np.float32(-0.9995941), np.float32(0.99971443), np.float32(0.9996221), np.float32(0.9998422), np.float32(0.99984115), np.float32(0.9999928), np.float32(0.9999442), np.float32(-0.9996911), np.float32(-0.99994075), np.float32(-0.9999626), np.float32(0.99996287), np.float32(0.997703)]",2,Bent
"[np.float32(0.9999749), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(-0.99997944), np.float32(1.0), np.float32(1.0), np.float32(-1.0), np.float32(0.99997866), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(0.9999748), np.float32(-1.0), np.float32(-0.99998736), np.float32(-1.0), np.float32(1.0), np.float32(1.0), np.float32(0.9999864), np.float32(-0.9999775), np.float32(-1.0), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(1.0), np.float32(-0.99998224), np.float32(1.0), np.float32(-0.99998266), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(0.99997604), np.float32(1.0), np.float32(-1.0), np.float32(0.99998343), np.float32(-0.9999693), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(0.99998873), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(-1.0), np.float32(0.9999768), np.float32(-1.0), np.float32(-0.99995375), np.float32(-1.0), np.float32(-0.99998975), np.float32(1.0), np.float32(-0.99998516), np.float32(1.0), np.float32(-1.0), np.float32(1.0), np.float32(-0.99999994), np.float32(1.0), np.float32(1.0), np.float32(0.9999875), np.float32(1.0), np.float32(1.0), np.float32(1.0), np.float32(-1.0), np.float32(-1.0), np.float32(-1.0), np.float32(1.0), np.float32(0.9999348)]",2,Bent
